participant-id,years-of-experience,role-in-code-review,programming-language,project,injected-issues,issue-id,issue-type,issue-severity,treatment,Is-injected-issue-identified
dev5,27,Contributor&Reviewer,Java,stopwatch,7,j11,Evolvability Defect -> Documentation -> Textual,2,MCR,0
dev5,27,Contributor&Reviewer,Java,stopwatch,7,j12,Evolvability Defect -> Documentation -> Textual,2,MCR,0
dev5,27,Contributor&Reviewer,Java,stopwatch,7,j13,Evolvability Defect -> Structure -> Solution Approach,2,MCR,0
dev5,27,Contributor&Reviewer,Java,stopwatch,7,j14,Evolvability Defect -> Documentation -> Supported by Language,1,MCR,0
dev5,27,Contributor&Reviewer,Java,stopwatch,7,j15,Functional Defect -> Interface,3,MCR,0
dev5,27,Contributor&Reviewer,Java,stopwatch,7,j16,Functional Defect -> Check,3,MCR,0
dev5,27,Contributor&Reviewer,Java,stopwatch,7,j17,Evolvability Defect -> Documentation -> Textual,2,MCR,1
dev6,35,Contributor&Reviewer,Python,stopwatch,4,p13,Functional Defect -> Check,2.5,CCR,1
dev6,35,Contributor&Reviewer,Python,stopwatch,4,p14,Evolvability Defect -> Documentation -> Textual,2.5,CCR,1
dev6,35,Contributor&Reviewer,Python,stopwatch,4,p15,Evolvability Defect -> Documentation -> Textual,2.5,CCR,1
dev6,35,Contributor&Reviewer,Python,stopwatch,4,p16,Evolvability Defect -> Structure -> Solution Approach,2,CCR,1
dev6,35,Contributor&Reviewer,Python,maze-generator,2,p1,Evolvability Defect -> Structure -> Solution Approach,2,ACR,1
dev6,35,Contributor&Reviewer,Python,maze-generator,2,p2,Evolvability Defect -> Documentation -> Textual,2,ACR,0
dev7,11,Contributor&Reviewer,Java,number-conversion,4,j7,Evolvability Defect -> Documentation -> Textual,3,CCR,1
dev7,11,Contributor&Reviewer,Java,number-conversion,4,j8,Evolvability Defect -> Documentation -> Textual,2.5,CCR,1
dev7,11,Contributor&Reviewer,Java,number-conversion,4,j9,Evolvability Defect -> Structure -> Solution Approach,2,CCR,1
dev7,11,Contributor&Reviewer,Java,number-conversion,4,j10,Evolvability Defect -> Documentation -> Textual,2,CCR,1
dev7,11,Contributor&Reviewer,Java,stopwatch,7,j11,Evolvability Defect -> Documentation -> Textual,2,ACR,0
dev7,11,Contributor&Reviewer,Java,stopwatch,7,j12,Evolvability Defect -> Documentation -> Textual,2,ACR,0
dev7,11,Contributor&Reviewer,Java,stopwatch,7,j13,Evolvability Defect -> Structure -> Solution Approach,2,ACR,1
dev7,11,Contributor&Reviewer,Java,stopwatch,7,j14,Evolvability Defect -> Documentation -> Supported by Language,1,ACR,1
dev7,11,Contributor&Reviewer,Java,stopwatch,7,j15,Evolvability Defect -> Documentation -> Textual,1.5,ACR,0
dev7,11,Contributor&Reviewer,Java,stopwatch,7,j16,Evolvability Defect -> Documentation -> Textual,1.5,ACR,1
dev7,11,Contributor&Reviewer,Java,stopwatch,7,j17,Functional Defect -> Check,3,ACR,1
dev7,11,Contributor&Reviewer,Java,word-utils,6,j18,Evolvability Defect -> Structure -> Solution Approach,1.5,MCR,0
dev7,11,Contributor&Reviewer,Java,word-utils,6,j19,Evolvability Defect -> Documentation -> Textual,1.5,MCR,0
dev7,11,Contributor&Reviewer,Java,word-utils,6,j20,Evolvability Defect -> Structure -> Solution Approach,1.5,MCR,1
dev7,11,Contributor&Reviewer,Java,word-utils,6,j21,Functional Defect -> Interface,3,MCR,0
dev7,11,Contributor&Reviewer,Java,word-utils,6,j22,Functional Defect -> Check,3,MCR,0
dev7,11,Contributor&Reviewer,Java,word-utils,6,j23,Evolvability Defect -> Documentation -> Textual,2,MCR,0
dev9,20,Contributor&Reviewer,Java,number-conversion,4,j7,Evolvability Defect -> Documentation -> Textual,3,MCR,1
dev9,20,Contributor&Reviewer,Java,number-conversion,4,j8,Evolvability Defect -> Documentation -> Textual,2.5,MCR,1
dev9,20,Contributor&Reviewer,Java,number-conversion,4,j9,Evolvability Defect -> Structure -> Solution Approach,2,MCR,1
dev9,20,Contributor&Reviewer,Java,number-conversion,4,j10,Evolvability Defect -> Documentation -> Textual,2,MCR,1
dev9,20,Contributor&Reviewer,Java,stopwatch,7,j11,Evolvability Defect -> Documentation -> Textual,2,CCR,1
dev9,20,Contributor&Reviewer,Java,stopwatch,7,j12,Evolvability Defect -> Documentation -> Textual,2,CCR,1
dev9,20,Contributor&Reviewer,Java,stopwatch,7,j13,Evolvability Defect -> Structure -> Solution Approach,2,CCR,1
dev9,20,Contributor&Reviewer,Java,stopwatch,7,j14,Evolvability Defect -> Documentation -> Supported by Language,1,CCR,1
dev9,20,Contributor&Reviewer,Java,stopwatch,7,j15,Functional Defect -> Interface,3,CCR,0
dev9,20,Contributor&Reviewer,Java,stopwatch,7,j16,Functional Defect -> Check,3,CCR,1
dev9,20,Contributor&Reviewer,Java,stopwatch,7,j17,Evolvability Defect -> Documentation -> Textual,2,CCR,1
